symbol,date,open,high,low,close,volume,trade_count,vwap,feed,adjustment
ASML,2026-06-30,1915.495,1999.96,1913.88,1989.44,2733122,202314,1974.074532,sip,all
ASML,2026-07-01,1916.28,1943.0,1832.63,1843.04,2615204,217627,1870.055057,sip,all
ASML,2026-07-02,1843.98,1858.395,1748.02,1769.32,2729183,225373,1788.198357,sip,all
ASML,2026-07-06,1830.0,1868.6,1813.33,1825.07,1975065,154383,1842.344351,sip,all
ASML,2026-07-07,1737.125,1761.04,1717.31,1747.28,1893321,176508,1738.619021,sip,all
ASML,2026-07-08,1733.68,1780.66,1729.38,1768.65,1444908,129977,1759.809909,sip,all
ASML,2026-07-09,1835.46,1858.73,1796.76,1804.25,1567314,140637,1826.316749,sip,all
ASML,2026-07-10,1783.88,1815.18,1766.66,1797.32,1240602,103812,1795.57605,sip,all
CEG,2025-09-02,299.28,306.22,295.79,305.95,2426932,61254,302.93,sip,all
CEG,2025-09-03,305.29,308.34,302.7,307.24,1374657,46661,306.39,sip,all
CEG,2025-09-04,308.75,310.9,306.01,307.82,1758005,46259,308.18,sip,all
CEG,2025-09-05,309.8,311.73,291.97,300.37,2818321,70906,299.19,sip,all
CEG,2025-09-08,302.99,303.56,295.17,297.62,2333633,63939,298.17,sip,all
CEG,2025-09-09,299.4,304.07,295.16,299.61,2081588,56236,299.87,sip,all
CEG,2025-09-10,307.26,326.98,307.26,318.71,4040714,92518,318.45,sip,all
CEG,2025-09-11,318.72,320.96,314.84,316.72,2263511,59004,317.34,sip,all
CEG,2025-09-12,316.78,324.1,314.01,322.18,1415234,42025,320.47,sip,all
CEG,2025-09-15,324.44,333.51,323.3,329.09,2049347,49785,328.9,sip,all
CEG,2025-09-16,330.7,331.52,320.21,321.61,2373960,49422,323.7,sip,all
CEG,2025-09-17,321.23,324.89,314.91,319.98,2171849,46111,319.78,sip,all
CEG,2025-09-18,323.87,328.8,318.3,321.41,1732359,51130,323.02,sip,all
CEG,2025-09-19,324.4,330.52,318.47,329.57,3416445,50718,327.03,sip,all
CEG,2025-09-22,331.63,345.93,325.19,345.72,2879884,71878,340.0,sip,all
CEG,2025-09-23,345.35,347.04,334.79,335.29,2522736,63926,338.23,sip,all
CEG,2025-09-24,338.32,343.01,334.15,337.76,1735230,47031,338.3,sip,all
CEG,2025-09-25,333.65,335.2,323.75,325.02,2447813,62378,327.09,sip,all
CEG,2025-09-26,327.4,331.5,325.13,329.93,1263516,38714,328.93,sip,all
CEG,2025-09-29,333.55,339.17,321.26,332.92,2286735,62981,331.87,sip,all
CEG,2025-09-30,333.57,335.42,325.89,327.75,2159639,53415,328.19,sip,all
CEG,2025-10-01,324.74,350.83,322.58,349.49,2818449,72435,343.79,sip,all
CEG,2025-10-02,350.83,356.24,341.83,356.02,2161782,56559,351.31,sip,all
CEG,2025-10-03,357.43,375.26,357.25,358.55,3355176,87285,364.71,sip,all
CEG,2025-10-06,366.15,367.02,351.58,362.63,2159899,59371,361.54,sip,all
CEG,2025-10-07,361.67,369.81,353.95,356.72,2167683,55374,357.73,sip,all
CEG,2025-10-08,367.33,374.98,362.25,369.51,3342846,73159,370.06,sip,all
CEG,2025-10-09,372.72,385.3,371.25,381.69,2888770,69761,377.33,sip,all
CEG,2025-10-10,379.47,390.6,365.9,367.01,3084565,86854,375.83,sip,all
CEG,2025-10-13,374.8,385.44,373.74,379.38,3270521,70916,381.24,sip,all
CEG,2025-10-14,373.19,393.55,364.69,387.99,3110937,72361,383.91,sip,all
CEG,2025-10-15,395.38,411.04,394.11,402.32,3537707,85026,402.7,sip,all
CEG,2025-10-16,405.26,410.03,393.13,394.93,3062349,71893,399.35,sip,all
CEG,2025-10-17,389.72,400.39,381.29,384.94,2882895,70175,387.93,sip,all
CEG,2025-10-20,394.35,396.9,366.65,368.51,3072907,81168,375.69,sip,all
CEG,2025-10-21,367.88,368.06,353.77,357.35,2753661,80236,357.55,sip,all
CEG,2025-10-22,359.55,361.48,342.09,348.65,3571753,91450,348.09,sip,all
CEG,2025-10-23,352.57,366.06,352.37,364.33,2317537,61044,360.37,sip,all
CEG,2025-10-24,374.91,389.54,372.1,387.62,2999903,79446,385.01,sip,all
CEG,2025-10-27,391.17,394.04,382.6,389.58,2642284,67777,387.09,sip,all
CEG,2025-10-28,395.43,399.39,373.99,383.4,2865617,76292,382.64,sip,all
CEG,2025-10-29,380.54,404.41,379.02,399.81,2615883,66759,398.54,sip,all
CEG,2025-10-30,395.55,399.37,380.45,380.94,2218183,68929,387.04,sip,all
CEG,2025-10-31,386.44,386.91,370.65,375.48,2383796,61937,377.67,sip,all
CEG,2025-11-03,379.39,383.43,373.65,376.19,2506681,59147,377.45,sip,all
CEG,2025-11-04,367.31,372.93,359.03,361.36,3192198,84897,364.05,sip,all
CEG,2025-11-05,363.46,369.49,355.62,361.79,3228316,74542,362.49,sip,all
CEG,2025-11-06,359.51,362.41,347.15,349.89,3909775,96219,351.96,sip,all
CEG,2025-11-07,334.13,357.65,330.78,356.95,5775306,137586,342.2,sip,all
CEG,2025-11-10,365.72,377.25,351.25,359.48,2436265,78439,361.76,sip,all
CEG,2025-11-11,358.17,362.1,347.03,350.25,1830051,62354,350.79,sip,all
CEG,2025-11-12,353.2,353.56,344.81,352.59,1994308,61611,351.16,sip,all
CEG,2025-11-13,348.82,349.58,332.31,334.39,3604266,92638,337.08,sip,all
CEG,2025-11-14,327.33,350.56,325.51,337.16,2732825,80655,340.15,sip,all
CEG,2025-11-17,335.71,346.99,333.12,337.69,2129469,61969,339.0,sip,all
CEG,2025-11-18,332.79,343.56,332.79,338.37,3209878,71798,338.33,sip,all
CEG,2025-11-19,343.28,361.67,341.94,356.45,3337706,92810,355.77,sip,all
CEG,2025-11-20,367.19,378.11,344.0,344.78,4414981,108292,356.9,sip,all
CEG,2025-11-21,344.28,344.28,329.91,337.13,2948337,91814,337.27,sip,all
CEG,2025-11-24,338.77,354.47,335.8,353.08,2388326,66430,349.92,sip,all
CEG,2025-11-25,352.44,354.51,338.36,350.58,1635778,55656,348.28,sip,all
CEG,2025-11-26,354.37,360.1,353.98,358.05,1396219,45694,357.69,sip,all
CEG,2025-11-28,360.96,365.25,358.56,363.31,1072967,35754,362.88,sip,all
CEG,2025-12-01,358.29,360.25,352.98,358.01,2012469,57172,357.63,sip,all
CEG,2025-12-02,361.49,367.65,357.91,362.62,1973995,55310,362.4,sip,all
CEG,2025-12-03,360.15,364.42,354.19,360.22,1559515,48993,360.56,sip,all
CEG,2025-12-04,359.94,373.37,357.47,367.56,2029840,60242,368.66,sip,all
CEG,2025-12-05,368.1,369.0,356.09,358.78,2018171,59346,360.83,sip,all
CEG,2025-12-08,361.72,363.2,352.98,356.64,1637866,57400,356.91,sip,all
